,element,orbital,weight,Hartree-Fock binding energies
672,Cm,5f,0.044,22.0
673,Bk,4s,0.054,1336.5
674,Bk,4p,0.184,1196.7
675,Bk,5s,0.018,299.3
676,Bk,4d,0.45,933.9
677,Bk,5p,0.056,242.7
678,Bk,6s,0.0036,45.1
679,Bk,4f,0.966,566.2
680,Bk,5d,0.103,142.1
681,Bk,6p,0.0093,28.9
682,Bk,7s,0.00034,5.0
683,Bk,6d,0.00083,6.2
684,Bk,5f,0.054,23.4
685,Cf,4s,0.055,1378.6
686,Cf,4p,0.187,1236.3
687,Cf,5s,0.018,308.8
688,Cf,4d,0.458,968.6
689,Cf,5p,0.058,250.8
690,Cf,6s,0.0037,46.0
691,Cf,4f,1.02,593.5
692,Cf,5d,0.107,147.4
693,Cf,6p,0.0095,29.4
694,Cf,7s,0.00036,5.1
695,Cf,6d,0.00086,6.1
696,Cf,5f,0.066,24.7
697,Es,4s,0.056,1421.2
698,Es,4p,0.19,1276.4
699,Es,5s,0.019,318.1
700,Es,4d,0.466,1003.6
701,Es,5p,0.06,258.7
702,Es,6s,0.0038,46.8
703,Es,4f,1.08,621.2
704,Es,5d,0.111,152.7
705,Es,6p,0.0098,29.8
706,Es,7s,0.00038,5.1
707,Es,6d,0.00088,6.1
708,Es,5f,0.078,26.1
709,Fm,4s,0.057,1464.3
710,Fm,4p,0.193,1316.8
711,Fm,5s,0.02,327.5
712,Fm,4d,0.473,1039.1
713,Fm,5p,0.062,266.7
714,Fm,6s,0.0039,47.6
715,Fm,4f,1.14,649.2
716,Fm,5d,0.115,157.9
717,Fm,6p,0.0099,30.3
718,Fm,7s,0.00028,5.1
719,Fm,6d,0.00088,6.1
720,Fm,5f,0.092,27.4
721,Md,4p,0.196,1357.7
722,Md,5s,0.02,336.9
723,Md,4d,0.481,1074.9
724,Md,5p,0.063,274.7
725,Md,6s,0.004,48.4
726,Md,4f,1.2,677.7
727,Md,5d,0.118,163.2
728,Md,6p,0.01,30.7
729,Md,7s,0.00027,5.2
730,Md,6d,0.00081,6.0
731,Md,5f,0.107,28.7
732,No,4p,0.198,1399.0
733,No,5s,0.021,346.3
734,No,4d,0.488,1111.2
735,No,5p,0.065,282.6
736,No,6s,0.0041,49.2
737,No,4f,1.26,706.5
738,No,5d,0.122,168.4
739,No,6p,0.01,31.1
740,No,7s,0.00028,5.2
741,No,6d,0.00082,6.0
742,No,5f,0.123,30.0
743,Lr,4p,0.201,1440.7
744,Lr,5s,0.021,355.6
745,Lr,4d,0.494,1147.9
746,Lr,5p,0.067,290.6
747,Lr,6s,0.0042,50.0
748,Lr,4f,1.32,735.7
749,Lr,5d,0.125,173.6
750,Lr,6p,0.01,31.5
751,Lr,7s,0.00033,5.2
752,Lr,6d,0.00083,5.9
753,Lr,5f,0.14,31.3
