1.1.1 P1		1.1.1 1
67.1.577 Cmma		8.1.24 mmm
67.2.578 Cmma1'		8.2.25 mmm1'
67.3.579 Cm'ma		8.3.26 m'mm
67.4.580 Cmma'		8.3.26 mmm'
67.5.581 Cm'm'a		8.4.27 m'm'm
67.6.582 Cmm'a'		8.4.27 mm'm'
67.7.583 Cm'm'a'		8.5.28 m'm'm'
67.8.584 C_cmma		8.2.25 mmm1'
67.9.585 P_Bccm		8.2.25 mmm1'
67.10.586 I_bbam		8.2.25 mmm1'
67.11.587 C_cmca		8.2.25 mmm1'
67.12.588 C_ccca		8.2.25 mmm1'
67.13.589 P_Bcca		8.2.25 mmm1'
67.14.590 P_Cmma		8.2.25 mmm1'
67.15.591 P_Abcm		8.2.25 mmm1'
67.16.592 I_cmma		8.2.25 mmm1'
67.17.593 I_cbca		8.2.25 mmm1'
68.1.594 Ccca		8.1.24 mmm
68.2.595 Ccca1'		8.2.25 mmm1'
68.3.596 Cc'ca		8.3.26 m'mm
68.4.597 Ccca'		8.3.26 mmm'
68.5.598 Cc'c'a		8.4.27 m'm'm
68.6.599 Ccc'a'		8.4.27 mm'm'
68.7.600 Cc'c'a'		8.5.28 m'm'm'
68.8.601 P_Aban		8.2.25 mmm1'
68.9.602 P_Ccca		8.2.25 mmm1'
68.10.603 P_Bbcn		8.2.25 mmm1'
68.11.604 P_Cnna		8.2.25 mmm1'
69.1.605 Fmmm		8.1.24 mmm
69.2.606 Fmmm1'		8.2.25 mmm1'
69.3.607 Fm'mm		8.3.26 m'mm
69.4.608 Fm'm'm		8.4.27 m'm'm
69.5.609 Fm'm'm'		8.5.28 m'm'm'
69.6.610 C_Ammm		8.2.25 mmm1'
69.7.611 C_Amcm		8.2.25 mmm1'
69.8.612 C_Amma		8.2.25 mmm1'
69.9.613 C_Accm		8.2.25 mmm1'
69.10.614 C_Amca		8.2.25 mmm1'
69.11.615 C_Acca		8.2.25 mmm1'
70.1.616 Fddd		8.1.24 mmm
70.2.617 Fddd1'		8.2.25 mmm1'
70.3.618 Fd'dd		8.3.26 m'mm
70.4.619 Fd'd'd		8.4.27 m'm'm
70.5.620 Fd'd'd'		8.5.28 m'm'm'
71.1.621 Immm		8.1.24 mmm
71.2.622 Immm1'		8.2.25 mmm1'
71.3.623 Im'mm		8.3.26 m'mm
71.4.624 Im'm'm		8.4.27 m'm'm
71.5.625 Im'm'm'		8.5.28 m'm'm'
71.6.626 P_Immm		8.2.25 mmm1'
71.7.627 P_Immn		8.2.25 mmm1'
71.8.628 P_Innm		8.2.25 mmm1'
71.9.629 P_Innn		8.2.25 mmm1'
72.1.630 Ibam		8.1.24 mmm
72.2.631 Ibam1'		8.2.25 mmm1'
72.3.632 Ib'am		8.3.26 m'mm
72.4.633 Ibam'		8.3.26 mmm'
72.5.634 Ib'a'm		8.4.27 m'm'm
72.6.635 Iba'm'		8.4.27 mm'm'
72.7.636 Ib'a'm'		8.5.28 m'm'm'
72.8.637 P_Iccm		8.2.25 mmm1'
72.9.638 P_Ibcm		8.2.25 mmm1'
72.10.639 P_Iccn		8.2.25 mmm1'
72.11.640 P_Ibam		8.2.25 mmm1'
72.12.641 P_Ibcn		8.2.25 mmm1'
72.13.642 P_Iban		8.2.25 mmm1'
73.1.643 Ibca		8.1.24 mmm
73.2.644 Ibca1'		8.2.25 mmm1'
73.3.645 Ib'ca		8.3.26 m'mm
73.4.646 Ib'c'a		8.4.27 m'm'm
73.5.647 Ib'c'a'		8.5.28 m'm'm'
73.6.648 P_Ibca		8.2.25 mmm1'
73.7.649 P_Icca		8.2.25 mmm1'
74.1.650 Imma		8.1.24 mmm
74.2.651 Imma1'		8.2.25 mmm1'
74.3.652 Im'ma		8.3.26 m'mm
74.4.653 Imma'		8.3.26 mmm'
74.5.654 Im'm'a		8.4.27 m'm'm
74.6.655 Imm'a'		8.4.27 mm'm'
74.7.656 Im'm'a'		8.5.28 m'm'm'
74.8.657 P_Imma		8.2.25 mmm1'
74.9.658 P_Inna		8.2.25 mmm1'
74.10.659 P_Imna		8.2.25 mmm1'
74.11.660 P_Inma		8.2.25 mmm1'
75.1.661 P4		9.1.29 4
75.2.662 P41'		9.2.30 41'
75.3.663 P4'		9.3.31 4'
75.4.664 P_c4		9.2.30 41'
75.5.665 P_C4		9.2.30 41'
75.6.666 I_c4		9.2.30 41'
75.7.667 P_c4_2		9.2.30 41'
76.1.668 P4_1		9.1.29 4
76.2.669 P4_11'		9.2.30 41'
76.3.670 P4_1'		9.3.31 4'
76.4.671 P_C4_1		9.2.30 41'
77.1.672 P4_2		9.1.29 4
77.2.673 P4_21'		9.2.30 41'
77.3.674 P4_2'		9.3.31 4'
77.4.675 P_c4_1		9.2.30 41'
77.5.676 P_C4_2		9.2.30 41'
77.6.677 I_c4_1		9.2.30 41'
77.7.678 P_c4_3		9.2.30 41'
78.1.679 P4_3		9.1.29 4
78.2.680 P4_31'		9.2.30 41'
78.3.681 P4_3'		9.3.31 4'
78.4.682 P_C4_3		9.2.30 41'
79.1.683 I4		9.1.29 4
79.2.684 I41'		9.2.30 41'
79.3.685 I4'		9.3.31 4'
79.4.686 P_I4		9.2.30 41'
79.5.687 P_I4_2		9.2.30 41'
80.1.688 I4_1		9.1.29 4
80.2.689 I4_11'		9.2.30 41'
80.3.690 I4_1'		9.3.31 4'
80.4.691 P_I4_1		9.2.30 41'
80.5.692 P_I4_3		9.2.30 41'
81.1.693 P-4		10.1.32 -4
81.2.694 P-41'		10.2.33 -41'
81.3.695 P-4'		10.3.34 -4'
81.4.696 P_c-4		10.2.33 -41'
81.5.697 P_C-4		10.2.33 -41'
81.6.698 I_c-4		10.2.33 -41'
82.1.699 I-4		10.1.32 -4
82.2.700 I-41'		10.2.33 -41'
82.3.701 I-4'		10.3.34 -4'
82.4.702 P_I-4		10.2.33 -41'
83.1.703 P4/m		11.1.35 4/m
83.2.704 P4/m1'		11.2.36 4/m1'
83.3.705 P4'/m		11.3.37 4'/m
83.4.706 P4/m'		11.4.38 4/m'
83.5.707 P4'/m'		11.5.39 4'/m'
83.6.708 P_c4/m		11.2.36 4/m1'
83.7.709 P_C4/m		11.2.36 4/m1'
83.8.710 I_c4/m		11.2.36 4/m1'
83.9.711 P_c4_2/m		11.2.36 4/m1'
83.10.712 P_C4/n		11.2.36 4/m1'
84.1.713 P4_2/m		11.1.35 4/m
84.2.714 P4_2/m1'		11.2.36 4/m1'
84.3.715 P4_2'/m		11.3.37 4'/m
84.4.716 P4_2/m'		11.4.38 4/m'
84.5.717 P4_2'/m'		11.5.39 4'/m'
84.6.718 P_C4_2/m		11.2.36 4/m1'
84.7.719 P_C4_2/n		11.2.36 4/m1'
85.1.720 P4/n		11.1.35 4/m
85.2.721 P4/n1'		11.2.36 4/m1'
85.3.722 P4'/n		11.3.37 4'/m
85.4.723 P4/n'		11.4.38 4/m'
85.5.724 P4'/n'		11.5.39 4'/m'
85.6.725 P_c4/n		11.2.36 4/m1'
85.7.726 P_c4_2/n		11.2.36 4/m1'
86.1.727 P4_2/n		11.1.35 4/m
86.2.728 P4_2/n1'		11.2.36 4/m1'
86.3.729 P4_2'/n		11.3.37 4'/m
86.4.730 P4_2/n'		11.4.38 4/m'
86.5.731 P4_2'/n'		11.5.39 4'/m'
86.6.732 I_c4_1/a		11.2.36 4/m1'
87.1.733 I4/m		11.1.35 4/m
87.2.734 I4/m1'		11.2.36 4/m1'
87.3.735 I4'/m		11.3.37 4'/m
87.4.736 I4/m'		11.4.38 4/m'
87.5.737 I4'/m'		11.5.39 4'/m'
87.6.738 P_I4/m		11.2.36 4/m1'
87.7.739 P_I4_2/m		11.2.36 4/m1'
87.8.740 P_I4/n		11.2.36 4/m1'
87.9.741 P_I4_2/n		11.2.36 4/m1'
88.1.742 I4_1/a		11.1.35 4/m
88.2.743 I4_1/a1'		11.2.36 4/m1'
88.3.744 I4_1'/a		11.3.37 4'/m
88.4.745 I4_1/a'		11.4.38 4/m'
88.5.746 I4_1'/a'		11.5.39 4'/m'
89.1.747 P422		12.1.40 422
89.2.748 P4221'		12.2.41 4221'
89.3.749 P4'22'		12.3.42 4'22'
89.4.750 P42'2'		12.4.43 42'2'
89.5.751 P4'2'2		12.3.42 4'2'2
89.6.752 P_c422		12.2.41 4221'
89.7.753 P_C422		12.2.41 4221'
89.8.754 I_c422		12.2.41 4221'
89.9.755 P_c4_222		12.2.41 4221'
89.10.756 P_C42_12		12.2.41 4221'
90.1.757 P42_12		12.1.40 422
90.2.758 P42_121'		12.2.41 4221'
90.3.759 P4'2_12'		12.3.42 4'22'
90.4.760 P42_1'2'		12.4.43 42'2'
90.5.761 P4'2_1'2		12.3.42 4'2'2
90.6.762 P_c42_12		12.2.41 4221'
90.7.763 P_c4_22_12		12.2.41 4221'
91.1.764 P4_122		12.1.40 422
91.2.765 P4_1221'		12.2.41 4221'
91.3.766 P4_1'22'		12.3.42 4'22'
91.4.767 P4_12'2'		12.4.43 42'2'
91.5.768 P4_1'2'2		12.3.42 4'2'2
91.6.769 P_C4_122		12.2.41 4221'
91.7.770 P_C4_12_12		12.2.41 4221'
92.1.771 P4_12_12		12.1.40 422
92.2.772 P4_12_121'		12.2.41 4221'
92.3.773 P4_1'2_12'		12.3.42 4'22'
92.4.774 P4_12_1'2'		12.4.43 42'2'
92.5.775 P4_1'2_1'2		12.3.42 4'2'2
93.1.776 P4_222		12.1.40 422
93.2.777 P4_2221'		12.2.41 4221'
93.3.778 P4_2'22'		12.3.42 4'22'
93.4.779 P4_22'2'		12.4.43 42'2'
93.5.780 P4_2'2'2		12.3.42 4'2'2
93.6.781 P_c4_122		12.2.41 4221'
93.7.782 P_C4_222		12.2.41 4221'
93.8.783 I_c4_122		12.2.41 4221'
93.9.784 P_c4_322		12.2.41 4221'
93.10.785 P_C4_22_12		12.2.41 4221'
94.1.786 P4_22_12		12.1.40 422
94.2.787 P4_22_121'		12.2.41 4221'
94.3.788 P4_2'2_12'		12.3.42 4'22'
94.4.789 P4_22_1'2'		12.4.43 42'2'
94.5.790 P4_2'2_1'2		12.3.42 4'2'2
94.6.791 P_c4_12_12		12.2.41 4221'
94.7.792 P_c4_32_12		12.2.41 4221'
95.1.793 P4_322		12.1.40 422
95.2.794 P4_3221'		12.2.41 4221'
95.3.795 P4_3'22'		12.3.42 4'22'
95.4.796 P4_32'2'		12.4.43 42'2'
95.5.797 P4_3'2'2		12.3.42 4'2'2
95.6.798 P_C4_322		12.2.41 4221'
95.7.799 P_C4_32_12		12.2.41 4221'
96.1.800 P4_32_12		12.1.40 422
96.2.801 P4_32_121'		12.2.41 4221'
96.3.802 P4_3'2_12'		12.3.42 4'22'
96.4.803 P4_32_1'2'		12.4.43 42'2'
96.5.804 P4_3'2_1'2		12.3.42 4'2'2
97.1.805 I422		12.1.40 422
97.2.806 I4221'		12.2.41 4221'
97.3.807 I4'22'		12.3.42 4'22'
97.4.808 I42'2'		12.4.43 42'2'
97.5.809 I4'2'2		12.3.42 4'2'2
97.6.810 P_I422		12.2.41 4221'
97.7.811 P_I4_222		12.2.41 4221'
97.8.812 P_I42_12		12.2.41 4221'
97.9.813 P_I4_22_12		12.2.41 4221'
98.1.814 I4_122		12.1.40 422
98.2.815 I4_1221'		12.2.41 4221'
98.3.816 I4_1'22'		12.3.42 4'22'
98.4.817 I4_12'2'		12.4.43 42'2'
98.5.818 I4_1'2'2		12.3.42 4'2'2
98.6.819 P_I4_122		12.2.41 4221'
98.7.820 P_I4_322		12.2.41 4221'
98.8.821 P_I4_12_12		12.2.41 4221'
98.9.822 P_I4_32_12		12.2.41 4221'
99.1.823 P4mm		13.1.44 4mm
99.2.824 P4mm1'		13.2.45 4mm1'
99.3.825 P4'm'm		13.3.46 4'm'm
99.4.826 P4'mm'		13.3.46 4'mm'
99.5.827 P4m'm'		13.4.47 4m'm'
99.6.828 P_c4mm		13.2.45 4mm1'
99.7.829 P_C4mm		13.2.45 4mm1'
99.8.830 I_c4mm		13.2.45 4mm1'
99.9.831 P_c4_2cm		13.2.45 4mm1'
99.10.832 P_c4_2mc		13.2.45 4mm1'
99.11.833 P_c4cc		13.2.45 4mm1'
99.12.834 P_C4bm		13.2.45 4mm1'
99.13.835 I_c4cm		13.2.45 4mm1'
100.1.836 P4bm		13.1.44 4mm
100.2.837 P4bm1'		13.2.45 4mm1'
100.3.838 P4'b'm		13.3.46 4'm'm
100.4.839 P4'bm'		13.3.46 4'mm'
100.5.840 P4b'm'		13.4.47 4m'm'
100.6.841 P_c4bm		13.2.45 4mm1'
100.7.842 P_c4_2nm		13.2.45 4mm1'
100.8.843 P_c4_2bc		13.2.45 4mm1'
100.9.844 P_c4nc		13.2.45 4mm1'
101.1.845 P4_2cm		13.1.44 4mm
101.2.846 P4_2cm1'		13.2.45 4mm1'
101.3.847 P4_2'c'm		13.3.46 4'm'm
101.4.848 P4_2'cm'		13.3.46 4'mm'
101.5.849 P4_2c'm'		13.4.47 4m'm'
101.6.850 P_C4_2mc		13.2.45 4mm1'
101.7.851 P_C4_2bc		13.2.45 4mm1'
102.1.852 P4_2nm		13.1.44 4mm
102.2.853 P4_2nm1'		13.2.45 4mm1'
102.3.854 P4_2'n'm		13.3.46 4'm'm
102.4.855 P4_2'nm'		13.3.46 4'mm'
102.5.856 P4_2n'm'		13.4.47 4m'm'
102.6.857 I_c4_1md		13.2.45 4mm1'
102.7.858 I_c4_1cd		13.2.45 4mm1'
103.1.859 P4cc		13.1.44 4mm
103.2.860 P4cc1'		13.2.45 4mm1'
103.3.861 P4'c'c		13.3.46 4'm'm
103.4.862 P4'cc'		13.3.46 4'mm'
103.5.863 P4c'c'		13.4.47 4m'm'
103.6.864 P_C4cc		13.2.45 4mm1'
103.7.865 P_C4nc		13.2.45 4mm1'
104.1.866 P4nc		13.1.44 4mm
104.2.867 P4nc1'		13.2.45 4mm1'
104.3.868 P4'n'c		13.3.46 4'm'm
104.4.869 P4'nc'		13.3.46 4'mm'
104.5.870 P4n'c'		13.4.47 4m'm'
105.1.871 P4_2mc		13.1.44 4mm
105.2.872 P4_2mc1'		13.2.45 4mm1'
105.3.873 P4_2'm'c		13.3.46 4'm'm
105.4.874 P4_2'mc'		13.3.46 4'mm'
105.5.875 P4_2m'c'		13.4.47 4m'm'
105.6.876 P_C4_2cm		13.2.45 4mm1'
105.7.877 P_C4_2nm		13.2.45 4mm1'
106.1.878 P4_2bc		13.1.44 4mm
106.2.879 P4_2bc1'		13.2.45 4mm1'
106.3.880 P4_2'b'c		13.3.46 4'm'm
106.4.881 P4_2'bc'		13.3.46 4'mm'
106.5.882 P4_2b'c'		13.4.47 4m'm'
107.1.883 I4mm		13.1.44 4mm
107.2.884 I4mm1'		13.2.45 4mm1'
107.3.885 I4'm'm		13.3.46 4'm'm
107.4.886 I4'mm'		13.3.46 4'mm'
107.5.887 I4m'm'		13.4.47 4m'm'
107.6.888 P_I4mm		13.2.45 4mm1'
107.7.889 P_I4_2nm		13.2.45 4mm1'
107.8.890 P_I4_2mc		13.2.45 4mm1'
107.9.891 P_I4nc		13.2.45 4mm1'
108.1.892 I4cm		13.1.44 4mm
108.2.893 I4cm1'		13.2.45 4mm1'
108.3.894 I4'c'm		13.3.46 4'm'm
108.4.895 I4'cm'		13.3.46 4'mm'
108.5.896 I4c'm'		13.4.47 4m'm'
108.6.897 P_I4bm		13.2.45 4mm1'
108.7.898 P_I4_2cm		13.2.45 4mm1'
108.8.899 P_I4_2bc		13.2.45 4mm1'
108.9.900 P_I4cc		13.2.45 4mm1'
109.1.901 I4_1md		13.1.44 4mm
109.2.902 I4_1md1'		13.2.45 4mm1'
109.3.903 I4_1'm'd		13.3.46 4'm'm
109.4.904 I4_1'md'		13.3.46 4'mm'
109.5.905 I4_1m'd'		13.4.47 4m'm'
110.1.906 I4_1cd		13.1.44 4mm
110.2.907 I4_1cd1'		13.2.45 4mm1'
110.3.908 I4_1'c'd		13.3.46 4'm'm
110.4.909 I4_1'cd'		13.3.46 4'mm'
110.5.910 I4_1c'd'		13.4.47 4m'm'
111.1.911 P-42m		14.1.48 -42m
111.2.912 P-42m1'		14.2.49 -42m1'
111.3.913 P-4'2'm		14.3.50 -4'2'm
111.4.914 P-4'2m'		14.4.51 -4'2m'
111.5.915 P-42'm'		14.5.52 -42'm'
111.6.916 P_c-42m		14.2.49 -42m1'
111.7.917 P_C-4m2		14.2.49 -4m21'
111.8.918 I_c-4m2		14.2.49 -4m21'
111.9.919 P_c-42c		14.2.49 -42m1'
111.10.920 P_C-4b2		14.2.49 -4m21'
111.11.921 I_c-4c2		14.2.49 -4m21'
112.1.922 P-42c		14.1.48 -42m
112.2.923 P-42c1'		14.2.49 -42m1'
112.3.924 P-4'2'c		14.3.50 -4'2'm
112.4.925 P-4'2c'		14.4.51 -4'2m'
112.5.926 P-42'c'		14.5.52 -42'm'
112.6.927 P_C-4c2		14.2.49 -4m21'
112.7.928 P_C-4n2		14.2.49 -4m21'
113.1.929 P-42_1m		14.1.48 -42m
113.2.930 P-42_1m1'		14.2.49 -42m1'
113.3.931 P-4'2_1'm		14.3.50 -4'2'm
113.4.932 P-4'2_1m'		14.4.51 -4'2m'
113.5.933 P-42_1'm'		14.5.52 -42'm'
113.6.934 P_c-42_1m		14.2.49 -42m1'
113.7.935 P_c-42_1c		14.2.49 -42m1'
114.1.936 P-42_1c		14.1.48 -42m
114.2.937 P-42_1c1'		14.2.49 -42m1'
114.3.938 P-4'2_1'c		14.3.50 -4'2'm
114.4.939 P-4'2_1c'		14.4.51 -4'2m'
114.5.940 P-42_1'c'		14.5.52 -42'm'
115.1.941 P-4m2		14.1.48 -4m2
115.2.942 P-4m21'		14.2.49 -4m21'
115.3.943 P-4'm'2		14.4.51 -4'm'2
115.4.944 P-4'm2'		14.3.50 -4'm2'
115.5.945 P-4m'2'		14.5.52 -4m'2'
115.6.946 P_c-4m2		14.2.49 -4m21'
115.7.947 P_C-42m		14.2.49 -42m1'
115.8.948 I_c-42m		14.2.49 -42m1'
115.9.949 P_c-4c2		14.2.49 -4m21'
115.10.950 P_C-42_1m		14.2.49 -42m1'
116.1.951 P-4c2		14.1.48 -4m2
116.2.952 P-4c21'		14.2.49 -4m21'
116.3.953 P-4'c'2		14.4.51 -4'm'2
116.4.954 P-4'c2'		14.3.50 -4'm2'
116.5.955 P-4c'2'		14.5.52 -4m'2'
116.6.956 P_C-42c		14.2.49 -42m1'
116.7.957 P_C-42_1c		14.2.49 -42m1'
117.1.958 P-4b2		14.1.48 -4m2
117.2.959 P-4b21'		14.2.49 -4m21'
117.3.960 P-4'b'2		14.4.51 -4'm'2
117.4.961 P-4'b2'		14.3.50 -4'm2'
117.5.962 P-4b'2'		14.5.52 -4m'2'
117.6.963 P_c-4b2		14.2.49 -4m21'
117.7.964 P_c-4n2		14.2.49 -4m21'
118.1.965 P-4n2		14.1.48 -4m2
118.2.966 P-4n21'		14.2.49 -4m21'
118.3.967 P-4'n'2		14.4.51 -4'm'2
118.4.968 P-4'n2'		14.3.50 -4'm2'
118.5.969 P-4n'2'		14.5.52 -4m'2'
118.6.970 I_c-42d		14.2.49 -42m1'
119.1.971 I-4m2		14.1.48 -4m2
119.2.972 I-4m21'		14.2.49 -4m21'
119.3.973 I-4'm'2		14.4.51 -4'm'2
119.4.974 I-4'm2'		14.3.50 -4'm2'
119.5.975 I-4m'2'		14.5.52 -4m'2'
119.6.976 P_I-4m2		14.2.49 -4m21'
119.7.977 P_I-4n2		14.2.49 -4m21'
120.1.978 I-4c2		14.1.48 -4m2
120.2.979 I-4c21'		14.2.49 -4m21'
120.3.980 I-4'c'2		14.4.51 -4'm'2
120.4.981 I-4'c2'		14.3.50 -4'm2'
120.5.982 I-4c'2'		14.5.52 -4m'2'
120.6.983 P_I-4c2		14.2.49 -4m21'
120.7.984 P_I-4b2		14.2.49 -4m21'
121.1.985 I-42m		14.1.48 -42m
121.2.986 I-42m1'		14.2.49 -42m1'
121.3.987 I-4'2'm		14.3.50 -4'2'm
121.4.988 I-4'2m'		14.4.51 -4'2m'
121.5.989 I-42'm'		14.5.52 -42'm'
121.6.990 P_I-42m		14.2.49 -42m1'
121.7.991 P_I-42_1m		14.2.49 -42m1'
121.8.992 P_I-42c		14.2.49 -42m1'
121.9.993 P_I-42_1c		14.2.49 -42m1'
122.1.994 I-42d		14.1.48 -42m
122.2.995 I-42d1'		14.2.49 -42m1'
122.3.996 I-4'2'd		14.3.50 -4'2'm
122.4.997 I-4'2d'		14.4.51 -4'2m'
122.5.998 I-42'd'		14.5.52 -42'm'
123.1.999 P4/mmm		15.1.53 4/mmm
123.2.1000 P4/mmm1'		15.2.54 4/mmm1'
123.3.1001 P4/m'mm		15.3.55 4/m'mm
123.4.1002 P4'/mm'm		15.4.56 4'/mm'm
123.5.1003 P4'/mmm'		15.4.56 4'/mmm'
123.6.1004 P4'/m'm'm		15.5.57 4'/m'm'm
123.7.1005 P4/mm'm'		15.6.58 4/mm'm'
123.8.1006 P4'/m'mm'		15.5.57 4'/m'mm'
123.9.1007 P4/m'm'm'		15.7.59 4/m'm'm'
123.10.1008 P_c4/mmm		15.2.54 4/mmm1'
123.11.1009 P_C4/mmm		15.2.54 4/mmm1'
123.12.1010 I_c4/mmm		15.2.54 4/mmm1'
123.13.1011 P_c4_2/mcm		15.2.54 4/mmm1'
123.14.1012 P_c4_2/mmc		15.2.54 4/mmm1'
123.15.1013 P_c4/mcc		15.2.54 4/mmm1'
123.16.1014 P_C4/nmm		15.2.54 4/mmm1'
123.17.1015 P_C4/mbm		15.2.54 4/mmm1'
123.18.1016 P_C4/nbm		15.2.54 4/mmm1'
123.19.1017 I_c4/mcm		15.2.54 4/mmm1'
124.1.1018 P4/mcc		15.1.53 4/mmm
124.2.1019 P4/mcc1'		15.2.54 4/mmm1'
124.3.1020 P4/m'cc		15.3.55 4/m'mm
124.4.1021 P4'/mc'c		15.4.56 4'/mm'm
124.5.1022 P4'/mcc'		15.4.56 4'/mmm'
124.6.1023 P4'/m'c'c		15.5.57 4'/m'm'm
124.7.1024 P4/mc'c'		15.6.58 4/mm'm'
124.8.1025 P4'/m'cc'		15.5.57 4'/m'mm'
124.9.1026 P4/m'c'c'		15.7.59 4/m'm'm'
124.10.1027 P_C4/mcc		15.2.54 4/mmm1'
124.11.1028 P_C4/ncc		15.2.54 4/mmm1'
124.12.1029 P_C4/mnc		15.2.54 4/mmm1'
124.13.1030 P_C4/nnc		15.2.54 4/mmm1'
125.1.1031 P4/nbm		15.1.53 4/mmm
125.2.1032 P4/nbm1'		15.2.54 4/mmm1'
125.3.1033 P4/n'bm		15.3.55 4/m'mm
125.4.1034 P4'/nb'm		15.4.56 4'/mm'm
125.5.1035 P4'/nbm'		15.4.56 4'/mmm'
125.6.1036 P4'/n'b'm		15.5.57 4'/m'm'm
125.7.1037 P4/nb'm'		15.6.58 4/mm'm'
125.8.1038 P4'/n'bm'		15.5.57 4'/m'mm'
125.9.1039 P4/n'b'm'		15.7.59 4/m'm'm'
125.10.1040 P_c4/nbm		15.2.54 4/mmm1'
125.11.1041 P_c4_2/nnm		15.2.54 4/mmm1'
125.12.1042 P_c4_2/nbc		15.2.54 4/mmm1'
125.13.1043 P_c4/nnc		15.2.54 4/mmm1'
126.1.1044 P4/nnc		15.1.53 4/mmm
126.2.1045 P4/nnc1'		15.2.54 4/mmm1'
126.3.1046 P4/n'nc		15.3.55 4/m'mm
126.4.1047 P4'/nn'c		15.4.56 4'/mm'm
126.5.1048 P4'/nnc'		15.4.56 4'/mmm'
126.6.1049 P4'/n'n'c		15.5.57 4'/m'm'm
126.7.1050 P4/nn'c'		15.6.58 4/mm'm'
126.8.1051 P4'/n'nc'		15.5.57 4'/m'mm'
126.9.1052 P4/n'n'c'		15.7.59 4/m'm'm'
127.1.1053 P4/mbm		15.1.53 4/mmm
127.2.1054 P4/mbm1'		15.2.54 4/mmm1'
127.3.1055 P4/m'bm		15.3.55 4/m'mm
127.4.1056 P4'/mb'm		15.4.56 4'/mm'm
127.5.1057 P4'/mbm'		15.4.56 4'/mmm'
127.6.1058 P4'/m'b'm		15.5.57 4'/m'm'm
127.7.1059 P4/mb'm'		15.6.58 4/mm'm'
127.8.1060 P4'/m'bm'		15.5.57 4'/m'mm'
127.9.1061 P4/m'b'm'		15.7.59 4/m'm'm'
127.10.1062 P_c4/mbm		15.2.54 4/mmm1'
127.11.1063 P_c4_2/mnm		15.2.54 4/mmm1'
127.12.1064 P_c4_2/mbc		15.2.54 4/mmm1'
127.13.1065 P_c4/mnc		15.2.54 4/mmm1'
128.1.1066 P4/mnc		15.1.53 4/mmm
128.2.1067 P4/mnc1'		15.2.54 4/mmm1'
128.3.1068 P4/m'nc		15.3.55 4/m'mm
128.4.1069 P4'/mn'c		15.4.56 4'/mm'm
128.5.1070 P4'/mnc'		15.4.56 4'/mmm'
128.6.1071 P4'/m'n'c		15.5.57 4'/m'm'm
128.7.1072 P4/mn'c'		15.6.58 4/mm'm'
128.8.1073 P4'/m'nc'		15.5.57 4'/m'mm'
128.9.1074 P4/m'n'c'		15.7.59 4/m'm'm'
129.1.1075 P4/nmm		15.1.53 4/mmm
129.2.1076 P4/nmm1'		15.2.54 4/mmm1'
129.3.1077 P4/n'mm		15.3.55 4/m'mm
129.4.1078 P4'/nm'm		15.4.56 4'/mm'm
129.5.1079 P4'/nmm'		15.4.56 4'/mmm'
129.6.1080 P4'/n'm'm		15.5.57 4'/m'm'm
129.7.1081 P4/nm'm'		15.6.58 4/mm'm'
129.8.1082 P4'/n'mm'		15.5.57 4'/m'mm'
129.9.1083 P4/n'm'm'		15.7.59 4/m'm'm'
129.10.1084 P_c4/nmm		15.2.54 4/mmm1'
129.11.1085 P_c4_2/ncm		15.2.54 4/mmm1'
129.12.1086 P_c4_2/nmc		15.2.54 4/mmm1'
129.13.1087 P_c4/ncc		15.2.54 4/mmm1'
130.1.1088 P4/ncc		15.1.53 4/mmm
130.2.1089 P4/ncc1'		15.2.54 4/mmm1'
130.3.1090 P4/n'cc		15.3.55 4/m'mm
130.4.1091 P4'/nc'c		15.4.56 4'/mm'm
130.5.1092 P4'/ncc'		15.4.56 4'/mmm'
130.6.1093 P4'/n'c'c		15.5.57 4'/m'm'm
130.7.1094 P4/nc'c'		15.6.58 4/mm'm'
130.8.1095 P4'/n'cc'		15.5.57 4'/m'mm'
130.9.1096 P4/n'c'c'		15.7.59 4/m'm'm'
131.1.1097 P4_2/mmc		15.1.53 4/mmm
131.2.1098 P4_2/mmc1'		15.2.54 4/mmm1'
131.3.1099 P4_2/m'mc		15.3.55 4/m'mm
131.4.1100 P4_2'/mm'c		15.4.56 4'/mm'm
131.5.1101 P4_2'/mmc'		15.4.56 4'/mmm'
131.6.1102 P4_2'/m'm'c		15.5.57 4'/m'm'm
131.7.1103 P4_2/mm'c'		15.6.58 4/mm'm'
131.8.1104 P4_2'/m'mc'		15.5.57 4'/m'mm'
131.9.1105 P4_2/m'm'c'		15.7.59 4/m'm'm'
131.10.1106 P_C4_2/mcm		15.2.54 4/mmm1'
131.11.1107 P_C4_2/ncm		15.2.54 4/mmm1'
131.12.1108 P_C4_2/mnm		15.2.54 4/mmm1'
131.13.1109 P_C4_2/nnm		15.2.54 4/mmm1'
132.1.1110 P4_2/mcm		15.1.53 4/mmm
132.2.1111 P4_2/mcm1'		15.2.54 4/mmm1'
132.3.1112 P4_2/m'cm		15.3.55 4/m'mm
132.4.1113 P4_2'/mc'm		15.4.56 4'/mm'm
132.5.1114 P4_2'/mcm'		15.4.56 4'/mmm'
132.6.1115 P4_2'/m'c'm		15.5.57 4'/m'm'm
132.7.1116 P4_2/mc'm'		15.6.58 4/mm'm'
132.8.1117 P4_2'/m'cm'		15.5.57 4'/m'mm'
