Li	20.4119306779	13.0656516899	3.5100000000
C	8.0585516206	55.5953519991	8.9000000000
Ne	17.8500401205	2.7976797131	9.2300000000
Na	37.1751953558	7.9126957362	4.1300000000
Mg	22.6471798130	38.6053690056	4.8000000000
Al	16.2686134104	77.1357712089	4.4500000000
Si	19.8226753766	101.2830671644	4.4300000000
P	18.5017456989	33.2058266332	4.5000000000
S	24.6344529073	21.2962016836	6.7500000000
Cl	26.9472875104	40.79779734988	5.2000000000
Ar	35.5470851931	3.2983246796	7.2000000000
K	72.1993569140	3.7509702193	4.0890000000
Ca	42.9453933306	15.8522348531	3.1000000000
Sc	24.7695611521	44.5429241793	2.8000000000
Ti	17.4972491019	107.3532076344	3.4000000000
V	13.8102371627	165.8391206631	4.1350000000
Cr	11.8218181990	204.5647000914	6.8950000000
Mn	11.9680120678	174.7008209027	6.6000000000
Fe	11.6393714028	175.1086987963	4.6000000000
Co	10.9563191311	198.3952571603	4.2600000000
Ni	10.8077248858	192.4580551235	4.0000000000
Cu	11.6468691265	144.2785999228	4.8800000000
Zn	14.8589080560	64.6681064605	4.4000000000
Ge	22.4394449615	79.3863983278	4.7600000000
As	21.2294629986	40.8478627908	3.3000000000
Se	26.2220119189	10.8511842397	5.8000000000
Br	31.4742294320	25.60913532206	5.2000000000
Kr	44.0396650574	4.0100291840	7.2000000000
Rb	89.1556853499	3.5526213033	3.8850000000
Sr	55.6036124476	11.9842858226	2.4850000000
Y	32.9504356012	37.3135136902	2.2000000000
Zr	23.1775566622	84.2834017272	2.5750000000
Nb	17.9728074489	173.1796015761	4.0150000000
Mo	15.5081291945	276.2110604310	3.9800000000
Ru	13.4494319310	335.5206725035	6.6100000000
Rh	13.5713064752	277.1283701334	4.5000000000
Pd	14.5649181140	187.1936487566	5.0000000000
Ag	16.8502671224	105.7066536338	4.7250000000
Cd	21.0072915257	50.6575327406	4.9000000000
In	25.7032021592	44.7057199504	5.3500000000
Sn	33.9673514422	42.8175727666	4.0000000000
Sb	29.6804586852	39.5144457700	4.3000000000
Te	33.3011164487	26.2066301792	8.4000000000
I	37.0417267368	23.94757695639	6.0000000000
Xe	56.8708353687	3.8313930155	6.3400000000
Cs	110.3240829143	2.3449684759	3.7900000000
Ba	62.2874792710	10.5948206033	2.4300000000
Hf	22.2975348853	110.6674189102	3.9500000000
Ta	17.9333133566	202.6879051772	3.7500000000
W	15.7959730837	327.4742143494	4.3200000000
Re	14.6193984266	380.7610091505	5.4100000000
Os	13.8455627662	424.6083092316	4.5000000000
Ir	14.0640862983	362.2372836709	4.8300000000
Pt	15.0221694263	285.5122223387	5.1800000000
Au	16.8216099724	182.0053319987	6.4000000000
Tl	27.9937800663	37.4420913632	3.0000000000
Pb	29.8632199952	46.3406063802	5.3350000000
Bi	35.1255842981	32.0779415682	2.4000000000

